Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Moviment,Nacionalitat,Nombre
2015,1,Ciutat Vella,1,el Raval,alta,Espanyols,1468
2015,1,Ciutat Vella,2,el Barri Gòtic,alta,Espanyols,433
2015,1,Ciutat Vella,3,la Barceloneta,alta,Espanyols,564
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",alta,Espanyols,667
2015,2,Eixample,5,el Fort Pienc,alta,Espanyols,972
2015,2,Eixample,6,la Sagrada Família,alta,Espanyols,1741
2015,2,Eixample,7,la Dreta de l'Eixample,alta,Espanyols,1469
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,alta,Espanyols,1345
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,alta,Espanyols,1826
2015,2,Eixample,10,Sant Antoni,alta,Espanyols,1348
2015,3,Sants-Montjuïc,11,el Poble Sec,alta,Espanyols,1349
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,alta,Espanyols,64
2015,3,Sants-Montjuïc,13,la Marina de Port,alta,Espanyols,946
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,alta,Espanyols,255
2015,3,Sants-Montjuïc,15,Hostafrancs,alta,Espanyols,613
2015,3,Sants-Montjuïc,16,la Bordeta,alta,Espanyols,646
2015,3,Sants-Montjuïc,17,Sants - Badal,alta,Espanyols,771
2015,3,Sants-Montjuïc,18,Sants,alta,Espanyols,1601
2015,4,Les Corts,19,les Corts,alta,Espanyols,1595
2015,4,Les Corts,20,la Maternitat i Sant Ramon,alta,Espanyols,739
2015,4,Les Corts,21,Pedralbes,alta,Espanyols,437
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",alta,Espanyols,187
2015,5,Sarrià-Sant Gervasi,23,Sarrià,alta,Espanyols,1031
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,alta,Espanyols,770
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,alta,Espanyols,1333
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,alta,Espanyols,1910
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,alta,Espanyols,1297
2015,6,Gràcia,28,Vallcarca i els Penitents,alta,Espanyols,565
2015,6,Gràcia,29,el Coll,alta,Espanyols,285
2015,6,Gràcia,30,la Salut,alta,Espanyols,505
2015,6,Gràcia,31,la Vila de Gràcia,alta,Espanyols,1994
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,alta,Espanyols,1282
2015,7,Horta-Guinardó,33,el Baix Guinardó,alta,Espanyols,997
2015,7,Horta-Guinardó,34,Can Baró,alta,Espanyols,365
2015,7,Horta-Guinardó,35,el Guinardó,alta,Espanyols,1569
2015,7,Horta-Guinardó,36,la Font d'en Fargues,alta,Espanyols,349
2015,7,Horta-Guinardó,37,el Carmel,alta,Espanyols,1102
2015,7,Horta-Guinardó,38,la Teixonera,alta,Espanyols,409
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,alta,Espanyols,313
2015,7,Horta-Guinardó,40,Montbau,alta,Espanyols,235
2015,7,Horta-Guinardó,41,la Vall d'Hebron,alta,Espanyols,294
2015,7,Horta-Guinardó,42,la Clota,alta,Espanyols,59
2015,7,Horta-Guinardó,43,Horta,alta,Espanyols,1022
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,alta,Espanyols,848
2015,8,Nou Barris,45,Porta,alta,Espanyols,1043
2015,8,Nou Barris,46,el Turó de la Peira,alta,Espanyols,630
2015,8,Nou Barris,47,Can Peguera,alta,Espanyols,87
