"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Nacionalitat","Nombre"
2018,1,"Ciutat Vella",1,"el Raval","Alta","Espanyols",1223
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Alta","Espanyols",407
2018,1,"Ciutat Vella",3,"la Barceloneta","Alta","Espanyols",440
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Alta","Espanyols",568
2018,2,"Eixample",5,"el Fort Pienc","Alta","Espanyols",850
2018,2,"Eixample",6,"la Sagrada Família","Alta","Espanyols",1352
2018,2,"Eixample",7,"la Dreta de l'Eixample","Alta","Espanyols",1289
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Alta","Espanyols",1072
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Alta","Espanyols",1605
2018,2,"Eixample",10,"Sant Antoni","Alta","Espanyols",1117
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Alta","Espanyols",1124
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Alta","Espanyols",31
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Alta","Espanyols",813
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Alta","Espanyols",281
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Alta","Espanyols",551
2018,3,"Sants-Montjuïc",16,"la Bordeta","Alta","Espanyols",797
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Alta","Espanyols",715
2018,3,"Sants-Montjuïc",18,"Sants","Alta","Espanyols",1378
2018,4,"Les Corts",19,"les Corts","Alta","Espanyols",1548
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Alta","Espanyols",647
2018,4,"Les Corts",21,"Pedralbes","Alta","Espanyols",411
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Alta","Espanyols",180
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Alta","Espanyols",1077
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Alta","Espanyols",705
