"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Nacionalitat","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Alta","Espanyols",1016
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Alta","Espanyols",395
2020,1,"Ciutat Vella",3,"la Barceloneta","Alta","Espanyols",402
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Alta","Espanyols",471
2020,2,"Eixample",5,"el Fort Pienc","Alta","Espanyols",718
2020,2,"Eixample",6,"la Sagrada Família","Alta","Espanyols",1249
2020,2,"Eixample",7,"la Dreta de l'Eixample","Alta","Espanyols",1050
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Alta","Espanyols",1139
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Alta","Espanyols",1486
2020,2,"Eixample",10,"Sant Antoni","Alta","Espanyols",965
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Alta","Espanyols",938
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Alta","Espanyols",134
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Alta","Espanyols",632
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Alta","Espanyols",213
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Alta","Espanyols",428
2020,3,"Sants-Montjuïc",16,"la Bordeta","Alta","Espanyols",466
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Alta","Espanyols",625
2020,3,"Sants-Montjuïc",18,"Sants","Alta","Espanyols",1081
2020,4,"Les Corts",19,"les Corts","Alta","Espanyols",1189
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Alta","Espanyols",590
2020,4,"Les Corts",21,"Pedralbes","Alta","Espanyols",340
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Alta","Espanyols",178
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Alta","Espanyols",904
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Alta","Espanyols",623
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Alta","Espanyols",909
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Alta","Espanyols",1402
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Alta","Espanyols",1080
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Alta","Espanyols",493
2020,6,"Gràcia",29,"el Coll","Alta","Espanyols",278
2020,6,"Gràcia",30,"la Salut","Alta","Espanyols",401
2020,6,"Gràcia",31,"la Vila de Gràcia","Alta","Espanyols",1477
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Alta","Espanyols",926
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Alta","Espanyols",736
2020,7,"Horta-Guinardó",34,"Can Baró","Alta","Espanyols",301
2020,7,"Horta-Guinardó",35,"el Guinardó","Alta","Espanyols",1024
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Alta","Espanyols",283
2020,7,"Horta-Guinardó",37,"el Carmel","Alta","Espanyols",918
2020,7,"Horta-Guinardó",38,"la Teixonera","Alta","Espanyols",323
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Alta","Espanyols",210
2020,7,"Horta-Guinardó",40,"Montbau","Alta","Espanyols",194
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Alta","Espanyols",151
