,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Població,Índex RFD Barcelona = 100
72,2010,10,Sant Martí,73,la Verneda i la Pau,29385,68.4
19,2010,4,Les Corts,20,la Maternitat i Sant Ramon,23818,125.3
20,2010,4,Les Corts,21,Pedralbes,11758,208.4
21,2010,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4340,161.9
22,2010,5,Sarrià-Sant Gervasi,23,Sarrià,24028,177.8
23,2010,5,Sarrià-Sant Gervasi,24,les Tres Torres,15807,225.8
24,2010,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,24307,189.5
18,2010,4,Les Corts,19,les Corts,47635,131.7
25,2010,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46478,201.1
27,2010,6,Gràcia,28,Vallcarca i els Penitents,15436,104.9
28,2010,6,Gràcia,29,el Coll,7271,89.0
29,2010,6,Gràcia,30,la Salut,13267,111.7
30,2010,6,Gràcia,31,la Vila de Gràcia,52586,102.8
31,2010,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34681,100.0
32,2010,7,Horta-Guinardó,33,el Baix Guinardó,26123,94.9
26,2010,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,30566,150.5
17,2010,3,Sants-Montjuïc,18,Sants,42568,84.4
16,2010,3,Sants-Montjuïc,17,Sants - Badal,24470,78.5
15,2010,3,Sants-Montjuïc,16,la Bordeta,18519,73.4
0,2010,1,Ciutat Vella,1,el Raval,48767,62.0
1,2010,1,Ciutat Vella,2,el Barri Gòtic,18720,92.3
2,2010,1,Ciutat Vella,3,la Barceloneta,16261,72.6
3,2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",23101,91.2
4,2010,2,Eixample,5,el Fort Pienc,32900,108.5
5,2010,2,Eixample,6,la Sagrada Família,52424,97.3
6,2010,2,Eixample,7,la Dreta de l'Eixample,43473,144.1
7,2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42076,125.9
8,2010,2,Eixample,9,la Nova Esquerra de l'Eixample,58247,115.2
9,2010,2,Eixample,10,Sant Antoni,38414,95.4
10,2010,3,Sants-Montjuïc,11,el Poble Sec,41138,66.6
11,2010,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1069,61.9
12,2010,3,Sants-Montjuïc,13,la Marina de Port,30134,74.4
13,2010,3,Sants-Montjuïc,14,la Font de la Guatlla,10310,82.4
14,2010,3,Sants-Montjuïc,15,Hostafrancs,16062,77.9
33,2010,7,Horta-Guinardó,34,Can Baró,9034,75.3
34,2010,7,Horta-Guinardó,35,el Guinardó,35803,82.5
35,2010,7,Horta-Guinardó,36,la Font d'en Fargues,9585,104.4
36,2010,7,Horta-Guinardó,37,el Carmel,32753,65.8
56,2010,9,Sant Andreu,57,la Trinitat Vella,10544,58.1
57,2010,9,Sant Andreu,58,Baró de Viver,2353,39.4
58,2010,9,Sant Andreu,59,el Bon Pastor,13846,51.8
59,2010,9,Sant Andreu,60,Sant Andreu,55813,78.6
60,2010,9,Sant Andreu,61,la Sagrera,29117,80.4
61,2010,9,Sant Andreu,62,el Congrés i els Indians,13977,76.0
62,2010,9,Sant Andreu,63,Navas,21699,81.4
63,2010,10,Sant Martí,64,el Camp de l'Arpa del Clot,38399,84.6
64,2010,10,Sant Martí,65,el Clot,27505,82.8
65,2010,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,13728,97.3
66,2010,10,Sant Martí,67,la Vila Olímpica del Poblenou,9275,134.9
67,2010,10,Sant Martí,68,el Poblenou,31961,86.3
68,2010,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,11730,106.8
69,2010,10,Sant Martí,70,el Besòs i el Maresme,24403,53.6
70,2010,10,Sant Martí,71,Provençals del Poblenou,19636,77.1
55,2010,8,Nou Barris,56,Vallbona,1342,48.2
73,2010,99,No consta,99,No consta,251,-
54,2010,8,Nou Barris,55,Ciutat Meridiana,11121,49.7
52,2010,8,Nou Barris,53,la Trinitat Nova,7815,45.8
37,2010,7,Horta-Guinardó,38,la Teixonera,11481,69.5
38,2010,7,Horta-Guinardó,39,Sant Genís dels Agudells,7060,81.4
39,2010,7,Horta-Guinardó,40,Montbau,5199,82.2
40,2010,7,Horta-Guinardó,41,la Vall d'Hebron,5630,93.0
41,2010,7,Horta-Guinardó,42,la Clota,451,81.4
42,2010,7,Horta-Guinardó,43,Horta,27825,78.2
43,2010,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25666,80.4
44,2010,8,Nou Barris,45,Porta,23809,70.7
45,2010,8,Nou Barris,46,el Turó de la Peira,16932,54.0
46,2010,8,Nou Barris,47,Can Peguera,2250,38.4
47,2010,8,Nou Barris,48,la Guineueta,15268,71.5
48,2010,8,Nou Barris,49,Canyelles,7322,75.4
49,2010,8,Nou Barris,50,les Roquetes,16178,53.3
50,2010,8,Nou Barris,51,Verdun,12398,55.0
51,2010,8,Nou Barris,52,la Prosperitat,26749,61.5
53,2010,8,Nou Barris,54,Torre Baró,2166,56.9
71,2010,10,Sant Martí,72,Sant Martí de Provençals,26281,74.9
0,2011,1,Ciutat Vella,1,el Raval,48485,65.0
72,2011,10,Sant Martí,73,la Verneda i la Pau,29131,61.8
50,2011,8,Nou Barris,51,Verdun,12396,53.3
49,2011,8,Nou Barris,50,les Roquetes,16050,53.8
48,2011,8,Nou Barris,49,Canyelles,7170,70.2
47,2011,8,Nou Barris,48,la Guineueta,15294,58.9
46,2011,8,Nou Barris,47,Can Peguera,2249,52.7
45,2011,8,Nou Barris,46,el Turó de la Peira,15270,58.6
51,2011,8,Nou Barris,52,la Prosperitat,26594,61.3
