,Any,Codi_Barri,Codi_Districte,Domicilis,Nom_Barri,Nom_Districte,Ocupacio_ mitjana_(persones_per_domicili),Ocupacio_mitjana_(persones_ per_domicili),Poblacio
71,2007,72,10,10626,Sant Martí de Provençals,Sant Martí,2.47,,26261
53,2007,54,8,684,Torre Baró,Nou Barris,3.08,,2105
52,2007,53,8,3206,la Trinitat Nova,Nou Barris,2.5,,8011
51,2007,52,8,10627,la Prosperitat,Nou Barris,2.51,,26696
50,2007,51,8,5007,Verdun,Nou Barris,2.46,,12301
49,2007,50,8,5919,les Roquetes,Nou Barris,2.66,,15756
48,2007,49,8,2804,Canyelles,Nou Barris,2.69,,7539
54,2007,55,8,3711,Ciutat Meridiana,Nou Barris,2.95,,10929
47,2007,48,8,6216,la Guineueta,Nou Barris,2.48,,15394
45,2007,46,8,6075,el Turó de la Peira,Nou Barris,2.49,,15102
44,2007,45,8,9727,Porta,Nou Barris,2.41,,23470
43,2007,44,8,10382,Vilapicina i la Torre Llobeta,Nou Barris,2.47,,25672
42,2007,43,7,10605,Horta,Horta-Guinardó,2.51,,26638
41,2007,42,7,182,la Clota,Horta-Guinardó,2.45,,445
40,2007,41,7,2105,la Vall d'Hebron,Horta-Guinardó,2.6,,5476
46,2007,47,8,862,Can Peguera,Nou Barris,2.49,,2143
39,2007,40,7,2141,Montbau,Horta-Guinardó,2.38,,5105
55,2007,56,8,469,Vallbona,Nou Barris,2.7,,1267
57,2007,58,9,921,Baró de Viver,Sant Andreu,2.6,,2397
0,2007,1,1,17235,el Raval,Ciutat Vella,2.7,,46595
70,2007,71,10,7243,Provençals del Poblenou,Sant Martí,2.59,,18731
69,2007,70,10,8244,el Besòs i el Maresme,Sant Martí,2.75,,22652
68,2007,69,10,4032,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,2.42,,9775
67,2007,68,10,12290,el Poblenou,Sant Martí,2.46,,30181
66,2007,67,10,3294,la Vila Olímpica del Poblenou,Sant Martí,2.67,,8783
56,2007,57,9,3437,la Trinitat Vella,Sant Andreu,2.91,,9992
65,2007,66,10,5350,el Parc i la Llacuna del Poblenou,Sant Martí,2.45,,13104
63,2007,64,10,16225,el Camp de l'Arpa del Clot,Sant Martí,2.38,,38604
62,2007,63,9,8675,Navas,Sant Andreu,2.47,,21454
61,2007,62,9,5938,el Congrés i els Indians,Sant Andreu,2.34,,13896
60,2007,61,9,11324,la Sagrera,Sant Andreu,2.51,,28469
59,2007,60,9,22206,Sant Andreu,Sant Andreu,2.48,,55171
58,2007,59,9,4664,el Bon Pastor,Sant Andreu,2.64,,12332
64,2007,65,10,10520,el Clot,Sant Martí,2.55,,26796
38,2007,39,7,2885,Sant Genís dels Agudells,Horta-Guinardó,2.45,,7069
37,2007,38,7,4669,la Teixonera,Horta-Guinardó,2.43,,11332
36,2007,37,7,12767,el Carmel,Horta-Guinardó,2.56,,32745
16,2007,17,3,9836,Sants - Badal,Sants-Montjuïc,2.45,,24085
15,2007,16,3,7364,la Bordeta,Sants-Montjuïc,2.52,,18592
14,2007,15,3,6469,Hostafrancs,Sants-Montjuïc,2.44,,15771
13,2007,14,3,4132,la Font de la Guatlla,Sants-Montjuïc,2.44,,10064
12,2007,13,3,11204,la Marina de Port,Sants-Montjuïc,2.62,,29327
11,2007,12,3,447,la Marina del Prat Vermell,Sants-Montjuïc,2.57,,1149
17,2007,18,3,16938,Sants,Sants-Montjuïc,2.38,,40272
10,2007,11,3,16271,el Poble Sec,Sants-Montjuïc,2.43,,39594
8,2007,9,2,24404,la Nova Esquerra de l'Eixample,Eixample,2.38,,58146
7,2007,8,2,18128,l'Antiga Esquerra de l'Eixample,Eixample,2.28,,41413
6,2007,7,2,17998,la Dreta de l'Eixample,Eixample,2.36,,42504
5,2007,6,2,22134,la Sagrada Família,Eixample,2.36,,52185
4,2007,5,2,12813,el Fort Pienc,Eixample,2.46,,31521
3,2007,4,1,9947,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,2.27,,22572
9,2007,10,2,16403,Sant Antoni,Eixample,2.32,,37988
18,2007,19,4,18683,les Corts,Les Corts,2.48,,46400
19,2007,20,4,9450,la Maternitat i Sant Ramon,Les Corts,2.53,,23938
20,2007,21,4,4131,Pedralbes,Les Corts,2.76,,11413
35,2007,36,7,3659,la Font d'en Fargues,Horta-Guinardó,2.63,,9621
34,2007,35,7,14685,el Guinardó,Horta-Guinardó,2.39,,35038
33,2007,34,7,3733,Can Baró,Horta-Guinardó,2.41,,8998
