,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros 
1067,2015,10,Sant Martí,71,Provençals del Poblenou,237,11378
364,2015,4,Les Corts,19,les Corts,21,23402
363,2015,4,Les Corts,19,les Corts,20,19480
362,2015,4,Les Corts,19,les Corts,19,23593
361,2015,4,Les Corts,19,les Corts,18,20301
360,2015,4,Les Corts,19,les Corts,17,19425
359,2015,4,Les Corts,19,les Corts,16,19386
358,2015,4,Les Corts,19,les Corts,15,19352
357,2015,4,Les Corts,19,les Corts,14,20076
356,2015,4,Les Corts,19,les Corts,13,19920
355,2015,4,Les Corts,19,les Corts,12,18593
354,2015,4,Les Corts,19,les Corts,11,21043
353,2015,4,Les Corts,19,les Corts,10,18727
352,2015,4,Les Corts,19,les Corts,9,16737
351,2015,4,Les Corts,19,les Corts,8,15366
350,2015,4,Les Corts,19,les Corts,7,14731
349,2015,4,Les Corts,19,les Corts,6,16742
348,2015,4,Les Corts,19,les Corts,5,17163
347,2015,4,Les Corts,19,les Corts,4,17189
346,2015,4,Les Corts,19,les Corts,3,17199
345,2015,4,Les Corts,19,les Corts,2,19577
344,2015,4,Les Corts,19,les Corts,1,16411
343,2015,3,Sants-Montjuïc,13,la Marina de Port,213,9297
342,2015,3,Sants-Montjuïc,13,la Marina de Port,212,11665
341,2015,3,Sants-Montjuïc,13,la Marina de Port,211,12460
340,2015,3,Sants-Montjuïc,18,Sants,114,17899
339,2015,3,Sants-Montjuïc,18,Sants,113,19264
338,2015,3,Sants-Montjuïc,18,Sants,112,16971
337,2015,3,Sants-Montjuïc,18,Sants,111,14117
336,2015,3,Sants-Montjuïc,18,Sants,110,14848
365,2015,4,Les Corts,19,les Corts,22,19511
335,2015,3,Sants-Montjuïc,18,Sants,109,13946
366,2015,4,Les Corts,19,les Corts,23,28350
368,2015,4,Les Corts,19,les Corts,25,17956
397,2015,4,Les Corts,21,Pedralbes,54,28183
396,2015,4,Les Corts,21,Pedralbes,53,19894
395,2015,4,Les Corts,21,Pedralbes,52,28350
394,2015,4,Les Corts,21,Pedralbes,51,20310
393,2015,4,Les Corts,21,Pedralbes,50,28315
392,2015,4,Les Corts,20,la Maternitat i Sant Ramon,49,23996
391,2015,4,Les Corts,20,la Maternitat i Sant Ramon,48,19332
390,2015,4,Les Corts,20,la Maternitat i Sant Ramon,47,18437
389,2015,4,Les Corts,20,la Maternitat i Sant Ramon,46,21698
388,2015,4,Les Corts,20,la Maternitat i Sant Ramon,45,15028
387,2015,4,Les Corts,20,la Maternitat i Sant Ramon,44,15817
386,2015,4,Les Corts,20,la Maternitat i Sant Ramon,43,19862
385,2015,4,Les Corts,20,la Maternitat i Sant Ramon,42,14302
384,2015,4,Les Corts,20,la Maternitat i Sant Ramon,41,14042
383,2015,4,Les Corts,20,la Maternitat i Sant Ramon,40,12838
382,2015,4,Les Corts,20,la Maternitat i Sant Ramon,39,15638
381,2015,4,Les Corts,20,la Maternitat i Sant Ramon,38,17378
380,2015,4,Les Corts,20,la Maternitat i Sant Ramon,37,16927
379,2015,4,Les Corts,20,la Maternitat i Sant Ramon,36,14163
378,2015,4,Les Corts,19,les Corts,35,19986
377,2015,4,Les Corts,19,les Corts,34,21456
376,2015,4,Les Corts,19,les Corts,33,16314
375,2015,4,Les Corts,19,les Corts,32,17162
374,2015,4,Les Corts,19,les Corts,31,14956
373,2015,4,Les Corts,19,les Corts,30,21045
372,2015,4,Les Corts,19,les Corts,29,20846
371,2015,4,Les Corts,19,les Corts,28,17895
370,2015,4,Les Corts,19,les Corts,27,19284
369,2015,4,Les Corts,19,les Corts,26,18008
367,2015,4,Les Corts,19,les Corts,24,28329
334,2015,3,Sants-Montjuïc,18,Sants,108,13167
333,2015,3,Sants-Montjuïc,18,Sants,107,15774
332,2015,3,Sants-Montjuïc,18,Sants,106,13125
297,2015,3,Sants-Montjuïc,17,Sants - Badal,71,11381
296,2015,3,Sants-Montjuïc,17,Sants - Badal,70,11889
295,2015,3,Sants-Montjuïc,16,la Bordeta,69,14302
294,2015,3,Sants-Montjuïc,16,la Bordeta,68,13376
293,2015,3,Sants-Montjuïc,16,la Bordeta,67,13457
292,2015,3,Sants-Montjuïc,16,la Bordeta,66,12941
291,2015,3,Sants-Montjuïc,16,la Bordeta,65,13842
290,2015,3,Sants-Montjuïc,16,la Bordeta,64,13741
289,2015,3,Sants-Montjuïc,16,la Bordeta,63,11942
288,2015,3,Sants-Montjuïc,16,la Bordeta,62,13045
287,2015,3,Sants-Montjuïc,16,la Bordeta,61,12643
286,2015,3,Sants-Montjuïc,16,la Bordeta,60,14449
285,2015,3,Sants-Montjuïc,16,la Bordeta,59,12286
284,2015,3,Sants-Montjuïc,16,la Bordeta,58,15190
283,2015,3,Sants-Montjuïc,16,la Bordeta,57,12697
282,2015,3,Sants-Montjuïc,15,Hostafrancs,56,14336
281,2015,3,Sants-Montjuïc,15,Hostafrancs,55,13505
280,2015,3,Sants-Montjuïc,15,Hostafrancs,54,14207
279,2015,3,Sants-Montjuïc,15,Hostafrancs,53,11950
278,2015,3,Sants-Montjuïc,15,Hostafrancs,52,11381
277,2015,3,Sants-Montjuïc,15,Hostafrancs,51,11683
276,2015,3,Sants-Montjuïc,15,Hostafrancs,50,13779
275,2015,3,Sants-Montjuïc,15,Hostafrancs,49,13973
274,2015,3,Sants-Montjuïc,15,Hostafrancs,48,16361
273,2015,3,Sants-Montjuïc,15,Hostafrancs,47,12525
272,2015,3,Sants-Montjuïc,14,la Font de la Guatlla,46,17089
271,2015,3,Sants-Montjuïc,14,la Font de la Guatlla,45,14098
270,2015,3,Sants-Montjuïc,14,la Font de la Guatlla,44,12275
