Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Renda
2010,10,Sant Martí,73,la Verneda i la Pau,14090.400000000001
2010,4,Les Corts,20,la Maternitat i Sant Ramon,25811.8
2010,4,Les Corts,21,Pedralbes,42930.4
2010,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",33351.4
2010,5,Sarrià-Sant Gervasi,23,Sarrià,36626.8
2010,5,Sarrià-Sant Gervasi,24,les Tres Torres,46514.8
2010,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,39037.0
2010,4,Les Corts,19,les Corts,27130.2
2010,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,41426.600000000006
2010,6,Gràcia,28,Vallcarca i els Penitents,21609.4
2010,6,Gràcia,29,el Coll,18334.0
2010,6,Gràcia,30,la Salut,23010.2
2010,6,Gràcia,31,la Vila de Gràcia,21176.8
2010,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,20600.0
2010,7,Horta-Guinardó,33,el Baix Guinardó,19549.4
2010,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,31002.999999999996
2010,3,Sants-Montjuïc,18,Sants,17386.4
2010,3,Sants-Montjuïc,17,Sants - Badal,16171.0
2010,3,Sants-Montjuïc,16,la Bordeta,15120.400000000001
2010,1,Ciutat Vella,1,el Raval,12772.0
2010,1,Ciutat Vella,2,el Barri Gòtic,19013.8
2010,1,Ciutat Vella,3,la Barceloneta,14955.6
2010,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18787.2
2010,2,Eixample,5,el Fort Pienc,22351.0
2010,2,Eixample,6,la Sagrada Família,20043.8
2010,2,Eixample,7,la Dreta de l'Eixample,29684.599999999995
2010,2,Eixample,8,l'Antiga Esquerra de l'Eixample,25935.4
2010,2,Eixample,9,la Nova Esquerra de l'Eixample,23731.200000000004
2010,2,Eixample,10,Sant Antoni,19652.4
2010,3,Sants-Montjuïc,11,el Poble Sec,13719.599999999999
2010,3,Sants-Montjuïc,12,la Marina del Prat Vermell,12751.4
2010,3,Sants-Montjuïc,13,la Marina de Port,15326.400000000001
2010,3,Sants-Montjuïc,14,la Font de la Guatlla,16974.4
2010,3,Sants-Montjuïc,15,Hostafrancs,16047.4
2010,7,Horta-Guinardó,34,Can Baró,15511.8
2010,7,Horta-Guinardó,35,el Guinardó,16995.0
2010,7,Horta-Guinardó,36,la Font d'en Fargues,21506.4
2010,7,Horta-Guinardó,37,el Carmel,13554.799999999997
2010,9,Sant Andreu,57,la Trinitat Vella,11968.599999999999
2010,9,Sant Andreu,58,Baró de Viver,8116.4
2010,9,Sant Andreu,59,el Bon Pastor,10670.800000000001
2010,9,Sant Andreu,60,Sant Andreu,16191.599999999999
2010,9,Sant Andreu,61,la Sagrera,16562.4
2010,9,Sant Andreu,62,el Congrés i els Indians,15656.0
2010,9,Sant Andreu,63,Navas,16768.4
2010,10,Sant Martí,64,el Camp de l'Arpa del Clot,17427.6
2010,10,Sant Martí,65,el Clot,17056.8
2010,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,20043.8
2010,10,Sant Martí,67,la Vila Olímpica del Poblenou,27789.399999999998
2010,10,Sant Martí,68,el Poblenou,17777.8
2010,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,22000.800000000003
