Nom_Districte,Codi_Barri,Nom_Barri,percentatge
Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,150.1
Sant Martí,67,la Vila Olímpica del Poblenou,164.2
Eixample,7,la Dreta de l'Eixample,175.9
Sarrià-Sant Gervasi,27,el Putxet i el Farró,144.6
Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,192.1
Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,184.6
Sarrià-Sant Gervasi,24,les Tres Torres,215.8
Sarrià-Sant Gervasi,23,Sarrià,193.6
Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",144.1
Les Corts,21,Pedralbes,248.8
