Nom_Districte,Codi_Barri,Nom_Barri,percentatge
Nou Barris,52,la Prosperitat,56.0
Nou Barris,47,Can Peguera,51.5
Nou Barris,51,Verdun,51.3
Nou Barris,50,les Roquetes,49.7
Nou Barris,49,Canyelles,52.2
Nou Barris,48,la Guineueta,53.8
Nou Barris,46,el Turó de la Peira,51.9
Nou Barris,44,Vilapicina i la Torre Llobeta,63.8
Nou Barris,53,la Trinitat Nova,48.2
Nou Barris,45,Porta,64.4
Nou Barris,54,Torre Baró,46.5
Nou Barris,56,Vallbona,40.9
Horta-Guinardó,38,la Teixonera,73.7
Sant Martí,70,el Besòs i el Maresme,60.4
Sant Andreu,59,el Bon Pastor,65.1
Sant Andreu,58,Baró de Viver,68.9
Sant Andreu,57,la Trinitat Vella,47.1
Nou Barris,55,Ciutat Meridiana,38.6
Horta-Guinardó,37,el Carmel,54.2
Ciutat Vella,1,el Raval,71.2
Sants-Montjuïc,13,la Marina de Port,69.3
Sants-Montjuïc,12,la Marina del Prat Vermell,40.0
Sant Martí,72,Sant Martí de Provençals,67.4
Sant Martí,73,la Verneda i la Pau,57.0
