Nom_Districte,Codi_Barri,Nom_Barri,percentatge
Horta-Guinardó,39,Sant Genís dels Agudells,84.1
Horta-Guinardó,43,Horta,79.8
Horta-Guinardó,42,la Clota,93.5
Horta-Guinardó,41,la Vall d'Hebron,95.8
Horta-Guinardó,40,Montbau,79.8
Sant Martí,68,el Poblenou,99.9
Sant Martí,65,el Clot,83.6
Sant Martí,64,el Camp de l'Arpa del Clot,81.7
Sant Andreu,63,Navas,81.6
Sant Andreu,62,el Congrés i els Indians,75.1
Sant Andreu,61,la Sagrera,77.1
Sant Andreu,60,Sant Andreu,77.7
Horta-Guinardó,35,el Guinardó,79.1
Sants-Montjuïc,15,Hostafrancs,99.0
Sants-Montjuïc,14,la Font de la Guatlla,82.9
Sants-Montjuïc,11,el Poble Sec,82.2
Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",99.4
Ciutat Vella,3,la Barceloneta,79.6
Sants-Montjuïc,16,la Bordeta,79.0
Horta-Guinardó,36,la Font d'en Fargues,92.5
Sants-Montjuïc,17,Sants - Badal,81.0
Horta-Guinardó,34,Can Baró,83.3
Horta-Guinardó,33,el Baix Guinardó,92.0
Gràcia,29,el Coll,87.0
Sants-Montjuïc,18,Sants,99.0
